ESNTL_NO,TRGET_BOOK_MASTR_CD,TRGET_BOOK_ONE_MASTR_CD,TRGET_BOOK_TWO_MASTR_CD,LON_FQ_CO,PBLT_VALUE,SCORE_VALUE,REGIST_DE
"3392650-5448424","3392650,5448424","3392650","5448424","9902","0.19013421916703468","0.0","20211020"
"3392650-5581788","3392650,5581788","3392650","5581788","6964","0.1669063368804525","0.0","20211020"
"3665795-3692898","3665795,3692898","3665795","3692898","10721","0.4514105263157895","0.0","20211020"
"3665795-3630589","3630589,3665795","3665795","3630589","10647","0.43497977693344775","0.0","20211020"
"3665795-3726870","3665795,3726870","3665795","3726870","8572","0.3617030254441116","0.0","20211020"
"3665795-3754579","3665795,3754579","3665795","3754579","7215","0.3490059497895806","0.0","20211020"
"3665795-3836747","3665795,3836747","3665795","3836747","6538","0.30889161863365777","0.0","20211020"
"3665795-3913813","3665795,3913813","3665795","3913813","6173","0.29177104504419343","0.0","20211020"
"3665795-5245617","3665795,5245617","3665795","5245617","5604","0.2834311147076674","0.0","20211020"
"3665795-5354695","3665795,5354695","3665795","5354695","5315","0.27939862271986543","0.0","20211020"
"3665795-3464859","3464859,3665795","3665795","3464859","4897","0.273789556077379","0.0","20211020"
"3665795-5409176","3665795,5409176","3665795","5409176","4600","0.26160145586897177","0.0","20211020"
"6045918-5852314","5852314,6045918","6045918","5852314","447","0.04613955408753097","0.0","20211020"
"6045918-5770455","5770455,6045918","6045918","5770455","372","0.02670303639365444","0.0","20211020"
"6045918-5670909","5670909,6045918","6045918","5670909","334","0.017562309391103165","0.0","20211020"
"6045918-5586945","5586945,6045918","6045918","5586945","331","0.01500181290790428","0.0","20211020"
"6045918-5481400","5481400,6045918","6045918","5481400","315","0.011875141370730605","0.0","20211020"
"6045918-5408148","5408148,6045918","6045918","5408148","289","0.009327394784404855","0.0","20211020"
"6045918-5220784","5220784,6045918","6045918","5220784","270","4.9923432247061084E-5","0.0","20211020"
"6045918-5359799","5359799,6045918","6045918","5359799","252","0.0072121576371597836","0.0","20211020"
"6045918-3787804","3787804,6045918","6045918","3787804","229","0.005494769171705538","0.0","20211020"
"6045918-3920584","3920584,6045918","6045918","3920584","213","0.005854865310610226","0.0","20211020"
"5770455-5670909","5670909,5770455","5770455","5670909","5285","0.2778946261436534","0.0","20211020"
"5770455-5586945","5586945,5770455","5770455","5586945","4127","0.18704677302393038","0.0","20211020"
"5770455-5481400","5481400,5770455","5770455","5481400","3727","0.14050365678956495","0.0","20211020"
"5770455-5408148","5408148,5770455","5770455","5408148","3318","0.10708752904725019","0.0","20211020"
"5770455-5852314","5770455,5852314","5770455","5852314","3278","0.3383567299752271","0.0","20211020"
"5770455-5359799","5359799,5770455","5770455","5359799","2762","0.0790475372771243","0.0","20211020"
"5770455-3787804","3787804,5770455","5770455","3787804","2499","0.05996256838468183","0.0","20211020"
"5770455-3920584","3920584,5770455","5770455","3920584","2487","0.06836173721825178","0.0","20211020"
"5770455-5220784","5220784,5770455","5770455","5220784","2318","4.286019109210651E-4","0.0","20211020"
"5770455-3694200","3694200,5770455","5770455","3694200","2299","0.058242342867276364","0.0","20211020"
"5623860-5521219","5521219,5623860","5623860","5521219","10275","0.30408404853506954","0.0","20211020"
"5623860-5686995","5623860,5686995","5623860","5686995","8835","0.35116658054771654","0.0","20211020"
"5623860-5453376","5453376,5623860","5623860","5453376","7920","0.20180914766212257","0.0","20211020"
"5623860-5400516","5400516,5623860","5623860","5400516","7057","0.14528049408131755","0.0","20211020"
"5623860-5357472","5357472,5623860","5623860","5357472","6603","0.11920278735580309","0.0","20211020"
"5623860-3913803","3913803,5623860","5623860","3913803","6284","0.1039571201694018","0.0","20211020"
"5623860-3762427","3762427,5623860","5623860","3762427","5815","0.09344968341207856","0.0","20211020"
"5623860-5220784","5220784,5623860","5623860","5220784","5559","0.0010278679994867132","0.0","20211020"
"5623860-3724093","3724093,5623860","5623860","3724093","5296","0.08734949694870527","0.0","20211020"
"5623860-3665736","3665736,5623860","5623860","3665736","5133","0.08061628345269506","0.0","20211020"
"3536732-3431411","3431411,3536732","3536732","3431411","25586","0.3942737387123617","0.0","20211020"
"3536732-3665736","3536732,3665736","3536732","3665736","24276","0.3812664907651715","0.0","20211020"
"3536732-3412785","3412785,3536732","3536732","3412785","20291","0.300491662470752","0.0","20211020"
"3536732-3724093","3536732,3724093","3536732","3724093","18361","0.3028368794326241","0.0","20211020"
"3536732-3405847","3405847,3536732","3536732","3405847","17840","0.2492734182875028","0.0","20211020"
"3536732-3762427","3536732,3762427","3536732","3762427","15990","0.2569665413171343","0.0","20211020"
"3536732-3913803","3536732,3913803","3536732","3913803","13822","0.22865934356802542","0.0","20211020"
"3536732-5220784","3536732,5220784","3536732","5220784","11410","0.0021097272664406183","0.0","20211020"
"3536732-5357472","3536732,5357472","3536732","5357472","11181","0.20184860903002183","0.0","20211020"
"3536732-5400516","3536732,5400516","3536732","5400516","9346","0.192403499742666","0.0","20211020"
"5957041-5508125","5508125,5957041","5957041","5508125","1291","0.051766309795902","0.0","20211020"
"5957041-5674475","5674475,5957041","5957041","5674475","1263","0.04231155778894472","0.0","20211020"
"5957041-5220784","5220784,5957041","5957041","5220784","1046","1.9340707455713294E-4","0.0","20211020"
"5957041-5707051","5707051,5957041","5957041","5707051","979","0.02930523542970036","0.0","20211020"
"5957041-5430429","5430429,5957041","5957041","5430429","965","0.025056474437203023","0.0","20211020"
"5957041-5446546","5446546,5957041","5957041","5446546","851","0.030622526088521052","0.0","20211020"
"5957041-3391014","3391014,5957041","5957041","3391014","785","0.02376411467320558","0.0","20211020"
"5957041-5738747","5738747,5957041","5957041","5738747","746","0.052277505255781356","0.0","20211020"
"5957041-5232202","5232202,5957041","5957041","5232202","738","0.025037318496403855","0.0","20211020"
"5957041-5411693","5411693,5957041","5957041","5411693","734","0.01984212802768166","0.0","20211020"
"5528882-5478213","5478213,5528882","5528882","5478213","6289","0.23510280373831777","0.0","20211020"
"5528882-5583794","5528882,5583794","5528882","5583794","6179","0.2724186579666696","0.0","20211020"
"5528882-5450234","5450234,5528882","5528882","5450234","5618","0.19918454174791703","0.0","20211020"
"5528882-5412597","5412597,5528882","5528882","5412597","5578","0.17245323852218272","0.0","20211020"
"5528882-5384091","5384091,5528882","5528882","5384091","5354","0.15569384669070607","0.0","20211020"
"5528882-5357919","5357919,5528882","5528882","5357919","5170","0.1394771629751531","0.0","20211020"
"5528882-5243812","5243812,5528882","5528882","5243812","5081","0.13196374308495443","0.0","20211020"
"5528882-3902011","3902011,5528882","5528882","3902011","5076","0.12128162855709268","0.0","20211020"
"5528882-5638545","5528882,5638545","5528882","5638545","5036","0.23988948697184775","0.0","20211020"
"5528882-3788041","3788041,5528882","5528882","3788041","4922","0.11494628678187763","0.0","20211020"
"5929591-5220784","5220784,5929591","5929591","5220784","402","7.43304435678465E-5","0.0","20211020"
"5929591-5861275","5861275,5929591","5929591","5861275","266","0.0457280385078219","0.0","20211020"
"5929591-5814773","5814773,5929591","5929591","5814773","248","0.0327090477446584","0.0","20211020"
"5929591-5847359","5847359,5929591","5929591","5847359","242","0.020305420372545728","0.0","20211020"
"5929591-5860447","5860447,5929591","5929591","5860447","230","0.033818556094691955","0.0","20211020"
"5929591-5789362","5789362,5929591","5929591","5789362","225","0.03892733564013841","0.0","20211020"
"5929591-5860446","5860446,5929591","5929591","5860446","225","0.03133268347026876","0.0","20211020"
"5929591-5648043","5648043,5929591","5929591","5648043","225","0.022949816401468787","0.0","20211020"
"5929591-5848313","5848313,5929591","5929591","5848313","211","0.028197247093411735","0.0","20211020"
"5929591-5855640","5855640,5929591","5929591","5855640","205","0.049196064314854814","0.0","20211020"
"6049126-5220784","5220784,6049126","6049126","5220784","123","2.274289691255005E-5","0.0","20211020"
"6049126-5988982","5988982,6049126","6049126","5988982","83","0.0173785594639866","0.0","20211020"
"6049126-5791228","5791228,6049126","6049126","5791228","55","0.0037199864727764627","0.0","20211020"
"6049126-5371595","5371595,6049126","6049126","5371595","54","0.0015112081269414827","0.0","20211020"
"6049126-5853191","5853191,6049126","6049126","5853191","50","0.03915426781519186","0.0","20211020"
"6049126-5390731","5390731,6049126","6049126","5390731","46","7.610601899341518E-4","0.0","20211020"
"6049126-5424120","5424120,6049126","6049126","5424120","46","0.00124512776093547","0.0","20211020"
"6049126-5440794","5440794,6049126","6049126","5440794","45","0.00242548374925888","0.0","20211020"
"6049126-5424467","5424467,6049126","6049126","5424467","44","0.0014596118759329906","0.0","20211020"
"6049126-5236389","5236389,6049126","6049126","5236389","43","9.86985562467005E-4","0.0","20211020"
"2378590-2599842","2378590,2599842","2378590","2599842","922","0.3741883116883117","0.0","20211020"
"2378590-2609532","2378590,2609532","2378590","2609532","903","0.2900738837134597","0.0","20211020"
"2378590-2608612","2378590,2608612","2378590","2608612","749","0.266928011404134","0.0","20211020"
"2378590-2601747","2378590,2601747","2378590","2601747","673","0.3234022104757328","0.0","20211020"
"2378590-5220784","2378590,5220784","2378590","5220784","640","1.1833702458562626E-4","0.0","20211020"
"2378590-2375207","2375207,2378590","2378590","2375207","635","0.19051905190519053","0.0","20211020"
"2378590-2375206","2375206,2378590","2378590","2375206","536","0.19074733096085408","0.0","20211020"
"2378590-2601589","2378590,2601589","2378590","2601589","529","0.2538387715930902","0.0","20211020"
"2378590-2375204","2375204,2378590","2378590","2375204","525","0.11220346227826458","0.0","20211020"
"2378590-2604937","2378590,2604937","2378590","2604937","490","0.18867924528301888","0.0","20211020"
"2967471-2614956","2614956,2967471","2967471","2614956","530","0.23608017817371937","0.0","20211020"
"2967471-2617021","2617021,2967471","2967471","2617021","518","0.31527693244065735","0.0","20211020"
"2967471-2611488","2611488,2967471","2967471","2611488","445","0.18388429752066116","0.0","20211020"
"2967471-2604937","2604937,2967471","2967471","2604937","383","0.14747785906815555","0.0","20211020"
"2967471-5220784","2967471,5220784","2967471","5220784","318","5.879870909098305E-5","0.0","20211020"
